,0,1
0,1.5945816665127942e-33,7.842007427438666e-30
1,1.1263408633703207e-30,1.5724550377124577e-35
2,9.851618704283429e-28,9.723200108950042e-28
3,6.282328498546468e-46,2.4024866418587343e-102
4,3.3900669005582906e-31,5.137354611813076e-29
5,1.3976227976221923e-34,3.823762507819517e-33
6,8.453381222956435e-28,7.5955507263408766e-31
7,1.9185386949664256e-32,1.2307625325319562e-31
8,5.033111452344128e-29,2.963266536495909e-30
9,5.476421882915576e-28,2.327785629201669e-31
10,4.0989690361060646e-30,7.135304810648886e-30
11,1.6009218121618497e-33,1.5957822501920776e-29
12,6.078342047473292e-28,5.132159356401782e-29
13,9.362373157968163e-31,5.18631133487782e-30
14,1.832615665891079e-104,3.538203976856227e-46
15,4.997575454900234e-27,1.228604297360055e-31
16,2.2877979419038493e-32,4.770581702665243e-51
17,1.5719040114681346e-37,9.424739825978427e-33
18,2.7216938508079557e-33,5.537676415612088e-31
19,7.618992112098418e-36,8.86397788685423e-31
20,9.772435000854984e-29,2.0743247510964925e-33
21,4.1217545391508735e-31,3.141022749645626e-29
22,6.407726023976066e-36,2.7238252617148167e-30
23,3.8171577176276557e-32,2.0980329075318286e-29
24,2.845529966983952e-29,1.213803854268109e-28
25,4.104518639914849e-28,7.132273048896963e-29
26,1.40712766592465e-27,1.385816444338451e-32
27,1.351396073402005e-128,5.5930778872414774e-64
28,2.776616919447659e-28,4.519665788807688e-28
29,6.527405437301226e-41,2.3959736029894896e-41
30,1.6747929242047172e-28,2.485337884189417e-34
31,4.34843486345608e-34,8.765405793797013e-32
32,3.55600998124691e-27,3.1663314262960327e-31
33,3.471530156069878e-28,7.337668430815655e-31
34,9.903190223908684e-26,7.651468140048176e-28
35,7.200964838463713e-39,3.625382122032926e-75
36,3.783063982194201e-27,2.722389316824718e-28
37,3.0474677651254325e-26,2.708386848185825e-30
38,1.1836430570014567e-30,1.2078120799231184e-29
39,2.4501279245215792e-27,1.9996787623725858e-30
40,1.409349105129566e-26,4.889133244812977e-27
41,2.049140388147729e-44,1.0796244858225017e-37
42,4.020049786455493e-49,2.2786947087422472e-46
43,5.369348485052478e-40,1.2299256029626435e-36
44,3.267909825835344e-29,1.790801730143801e-28
45,1.53930232129803e-28,5.046856493866611e-30
46,5.392220207382373e-28,2.0483777874939553e-33
47,7.04698116625807e-81,2.1272667773732847e-43
48,1.0232752422695329e-28,2.1290850558273708e-29
49,1.724059434383489e-29,4.441717911090025e-28
50,4.910694486635915e-27,7.997088290592651e-29
51,5.538495509911973e-34,4.232363165880283e-30
52,1.4390533243139527e-29,8.670087061466537e-43
53,7.345753577480393e-42,3.624780114286512e-34
54,8.747218001503351e-201,9.70266141505695e-70
55,1.0033195868341713e-32,2.111201479006208e-29
56,5.2598630564387086e-34,5.348460428731993e-32
57,6.838943528302819e-31,1.1947882047318844e-28
58,2.2461812068996883e-34,3.9996842370037316e-29
59,1.3169984623332766e-30,2.964900867483276e-29
60,8.413253205436762e-27,4.600713443535387e-28
61,1.4614222754035123e-28,4.574056964123116e-29
62,2.4999843652236593e-33,1.8285310872827118e-30
